,classname,confidence,edges,mutation
492,Verbot für Fahrzeuge aller Art,0.90879023,15,0.6
493,Vorfahrt,0.55212325,15,0.65
494,Verbot für Fahrzeuge aller Art,0.98946393,15,0.7
495,Vorfahrt,0.99518085,15,0.75
496,Kreisverkehr,0.85490811,15,0.8
497,Verbot für Fahrzeuge aller Art,0.83449155,15,0.85
498,Baustelle,0.99936563,15,0.9
499,Ende aller Streckenverbote,0.42064548,15,0.95
500,Verbot für Fahrzeuge aller Art,0.66238409,15,1.0
501,Vorfahrt gewähren,0.71114731,15,1.05
502,Vorfahrt,0.61339229,15,1.1
503,Verbot für Fahrzeuge aller Art,0.96606266,15,1.15
504,Vorfahrt gewähren,0.81019545,15,1.2
505,Verbot für Fahrzeuge aller Art,0.4894082,15,1.25
506,Vorfahrt gewähren,0.5504424,15,1.3
507,Zulässige Höchstgeschwindigkeit (70),0.98101705,15,1.35
508,Rechts vorbei,0.88386965,15,1.4
509,Verbot der Einfahrt,0.967318,15,1.45
510,Vorfahrt gewähren,0.99999392,15,1.5
511,Einmalige Vorfahrt,0.99951911,15,1.55
512,Verbot der Einfahrt,0.98895043,15,1.6
513,Rechts vorbei,0.99982965,15,1.65
514,Rechts vorbei,0.99996817,15,1.7
515,Baustelle,0.57095301,15,1.75
516,Zulässige Höchstgeschwindigkeit (100),0.48433721,15,1.8
517,Überholverbot für Kraftfahrzeuge aller Art,0.82554352,15,1.85
518,Zulässige Höchstgeschwindigkeit (70),0.99974495,15,1.9
519,Zulässige Höchstgeschwindigkeit (80),0.99987173,15,1.95
520,Ende aller Streckenverbote,0.91241622,16,0.0
521,Ende aller Streckenverbote,0.90356177,16,0.05
522,Ende aller Streckenverbote,0.98997772,16,0.1
523,Ende aller Streckenverbote,0.92984551,16,0.15
524,Ende aller Streckenverbote,0.93946648,16,0.2
525,Ende aller Streckenverbote,0.96719879,16,0.25
526,Ende aller Streckenverbote,0.98165846,16,0.3
527,Ende aller Streckenverbote,0.82053649,16,0.35
528,Verbot für Fahrzeuge aller Art,0.5633626,16,0.4
529,Vorfahrt,0.28362775,16,0.45
530,Rechts vorbei,0.91050035,16,0.5
531,Ende aller Streckenverbote,0.48600322,16,0.55
532,Verbot für Fahrzeuge aller Art,0.78327996,16,0.6
533,Verbot für Fahrzeuge aller Art,0.98646939,16,0.65
534,Verbot für Fahrzeuge aller Art,0.97308356,16,0.7
535,Vorfahrt,0.90655077,16,0.75
536,Vorfahrt gewähren,0.58854467,16,0.8
537,Vorfahrt,0.45811176,16,0.85
538,Vorfahrt gewähren,0.53392798,16,0.9
539,Vorfahrt,0.84669811,16,0.95
540,Vorfahrt,0.99582303,16,1.0
541,Vorfahrt,0.25112811,16,1.05
542,Zulässige Höchstgeschwindigkeit (50),0.9953689,16,1.1
543,Ausschließlich rechts,0.93128031,16,1.15
544,Verbot für Fahrzeuge aller Art,0.97173578,16,1.2
545,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.97586262,16,1.25
546,Vorfahrt,0.98287994,16,1.3
547,Vorfahrt gewähren,0.8904537,16,1.35
548,Vorfahrt gewähren,0.26449984,16,1.4
549,Vorfahrt gewähren,0.99904186,16,1.45
550,Fahrradfahrer,0.15210222,16,1.5
551,Rechts vorbei,0.94688427,16,1.55
552,Zulässige Höchstgeschwindigkeit (70),0.64727366,16,1.6
553,Schleudergefahr bei Nässe oder Schmutz,0.99997306,16,1.65
554,Verbot der Einfahrt,0.9085049,16,1.7
555,Zulässige Höchstgeschwindigkeit (120),0.93265367,16,1.75
556,Baustelle,0.99933499,16,1.8
557,Vorfahrt gewähren,0.88345242,16,1.85
558,Stoppschild,0.90089917,16,1.9
559,Zulässige Höchstgeschwindigkeit (80),0.54036313,16,1.95
560,Ende aller Streckenverbote,0.9339211,17,0.0
561,Ende aller Streckenverbote,0.927571,17,0.05
562,Ende aller Streckenverbote,0.69091779,17,0.1
563,Ende aller Streckenverbote,0.55534041,17,0.15
564,Ende aller Streckenverbote,0.92152733,17,0.2
565,Vorfahrt,0.43464866,17,0.25
566,Ende aller Streckenverbote,0.76049286,17,0.3
567,Vorfahrt gewähren,0.48093766,17,0.35
568,Ende aller Streckenverbote,0.89561015,17,0.4
569,Verbot für Fahrzeuge aller Art,0.99119556,17,0.45
570,Vorfahrt,0.83958167,17,0.5
571,Ausschließlich rechts,0.98541254,17,0.55
572,Baustelle,0.79331595,17,0.6
573,Ende aller Streckenverbote,0.68905842,17,0.65
574,Vorfahrt gewähren,0.98918062,17,0.7
575,Vorfahrt,0.88539785,17,0.75
576,Vorfahrt,0.98702174,17,0.8
577,Verbot für Fahrzeuge aller Art,0.8783018,17,0.85
578,Vorfahrt,0.22461078,17,0.9
579,Vorfahrt gewähren,0.94774675,17,0.95
580,Zulässige Höchstgeschwindigkeit (70),0.9985683,17,1.0
581,Vorfahrt gewähren,0.99870133,17,1.05
582,Vorfahrt gewähren,0.96784121,17,1.1
583,Verbot für Fahrzeuge aller Art,0.6432811,17,1.15
584,Zulässige Höchstgeschwindigkeit (30),0.48639587,17,1.2
585,Verbot für Fahrzeuge aller Art,0.7524994,17,1.25
586,Baustelle,0.99999988,17,1.3
587,Vorfahrt gewähren,0.99363339,17,1.35
588,Baustelle,0.61751556,17,1.4
589,Vorfahrt,0.91636145,17,1.45
590,Vorfahrt gewähren,0.93823749,17,1.5
591,Verbot für Fahrzeuge aller Art,0.79075474,17,1.55
592,Vorfahrt gewähren,0.02581493,17,1.6
593,Zulässige Höchstgeschwindigkeit (80),0.99805945,17,1.65
594,Verbot für Fahrzeuge aller Art,0.81754327,17,1.7
595,Vorfahrt,0.99731845,17,1.75
596,Verbot für Fahrzeuge aller Art,0.99877197,17,1.8
597,Zulässige Höchstgeschwindigkeit (70),0.99863344,17,1.85
598,Verbot der Einfahrt,0.75228781,17,1.9
599,Doppelkurve (zunächst links),0.09295043,17,1.95
600,Ende aller Streckenverbote,0.95664877,18,0.0
601,Ende aller Streckenverbote,0.9513191,18,0.05
602,Ende aller Streckenverbote,0.97030973,18,0.1
603,Ende aller Streckenverbote,0.96339381,18,0.15
604,Ende aller Streckenverbote,0.95136535,18,0.2
605,Ende aller Streckenverbote,0.8131907,18,0.25
606,Ende aller Streckenverbote,0.63896179,18,0.3
607,Ende aller Streckenverbote,0.9711557,18,0.35
608,Ende aller Streckenverbote,0.90768266,18,0.4
609,Vorfahrt,0.45936406,18,0.45
610,Ende aller Streckenverbote,0.36290926,18,0.5
611,Vorfahrt,0.95649242,18,0.55
612,Vorfahrt,0.82774794,18,0.6
613,Zulässige Höchstgeschwindigkeit (50),0.43832529,18,0.65
614,Vorfahrt,0.72633165,18,0.7
615,Vorfahrt,0.61444718,18,0.75
616,Baustelle,0.57842118,18,0.8
617,Vorfahrt gewähren,0.51289833,18,0.85
618,Zulässige Höchstgeschwindigkeit (70),0.9544872,18,0.9
619,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.94023472,18,0.95
620,Verbot für Fahrzeuge aller Art,0.99936146,18,1.0
621,Gefahrenstelle,0.15160592,18,1.05
622,Verbot für Fahrzeuge aller Art,0.78664196,18,1.1
623,Baustelle,0.99144709,18,1.15
624,Gefahrenstelle,0.52232891,18,1.2
625,Zulässige Höchstgeschwindigkeit (50),0.96793336,18,1.25
626,Zulässige Höchstgeschwindigkeit (70),0.78146124,18,1.3
627,Vorfahrt gewähren,0.97278094,18,1.35
628,Rechts vorbei,0.40492588,18,1.4
629,Baustelle,0.92633122,18,1.45
630,Zulässige Höchstgeschwindigkeit (50),0.86013228,18,1.5
631,Doppelkurve (zunächst links),0.8940593,18,1.55
632,Zulässige Höchstgeschwindigkeit (70),0.2532841,18,1.6
633,Vorfahrt,0.71770012,18,1.65
634,Zulässige Höchstgeschwindigkeit (70),0.11882255,18,1.7
635,Vorfahrt gewähren,0.99999988,18,1.75
636,Zulässige Höchstgeschwindigkeit (70),0.32758856,18,1.8
637,Verbot für Fahrzeuge aller Art,0.94728172,18,1.85
638,Vorfahrt,0.54448289,18,1.9
639,Ausschließlich rechts,0.64922279,18,1.95
640,Ende aller Streckenverbote,0.94418067,19,0.0
641,Ende aller Streckenverbote,0.9488911,19,0.05
642,Ende aller Streckenverbote,0.95659912,19,0.1
643,Ende aller Streckenverbote,0.87355125,19,0.15
644,Ausschließlich rechts,0.57176536,19,0.2
645,Ende aller Streckenverbote,0.59991944,19,0.25
646,Ende aller Streckenverbote,0.37333313,19,0.3
647,Ende aller Streckenverbote,0.65530652,19,0.35
648,Ende aller Streckenverbote,0.38173878,19,0.4
649,Ende aller Streckenverbote,0.83771557,19,0.45
650,Verbot für Fahrzeuge aller Art,0.60692644,19,0.5
651,Verbot für Fahrzeuge aller Art,0.4553456,19,0.55
652,Vorfahrt,0.38961834,19,0.6
653,Ende aller Streckenverbote,0.27819058,19,0.65
654,Vorfahrt,0.92328161,19,0.7
655,Vorfahrt,0.51329738,19,0.75
656,Rechts vorbei,0.57481307,19,0.8
657,Verbot für Fahrzeuge aller Art,0.98458225,19,0.85
658,Rechts vorbei,0.74992889,19,0.9
659,Vorfahrt,0.75910705,19,0.95
660,Verbot für Fahrzeuge aller Art,0.50411987,19,1.0
661,Zulässige Höchstgeschwindigkeit (30),0.9067049,19,1.05
662,Verbot für Fahrzeuge aller Art,0.99982685,19,1.1
663,Zulässige Höchstgeschwindigkeit (50),0.65324962,19,1.15
664,Vorfahrt gewähren,0.96572244,19,1.2
665,Verbot für Fahrzeuge aller Art,0.98645651,19,1.25
666,Verbot für Fahrzeuge aller Art,0.98626387,19,1.3
667,Vorfahrt gewähren,0.88503903,19,1.35
668,Verbot für Fahrzeuge aller Art,0.4164775,19,1.4
669,Baustelle,0.99012977,19,1.45
670,Vorfahrt gewähren,0.09334546,19,1.5
671,Überholverbot für Kraftfahrzeuge aller Art,0.74462104,19,1.55
672,Zulässige Höchstgeschwindigkeit (70),0.929959,19,1.6
673,Vorfahrt,0.89863223,19,1.65
674,Rechts vorbei,0.99999034,19,1.7
675,Einmalige Vorfahrt,0.98705602,19,1.75
676,Überholverbot für Kraftfahrzeuge aller Art,0.93587291,19,1.8
677,Zulässige Höchstgeschwindigkeit (120),0.10313607,19,1.85
678,Baustelle,0.99999416,19,1.9
679,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.85569495,19,1.95
680,Ende aller Streckenverbote,0.96041936,20,0.0
681,Ende aller Streckenverbote,0.87326509,20,0.05
682,Ende aller Streckenverbote,0.82903641,20,0.1
683,Ende aller Streckenverbote,0.93775451,20,0.15
684,Ende aller Streckenverbote,0.83573139,20,0.2
685,Ausschließlich rechts,0.52409494,20,0.25
686,Ende aller Streckenverbote,0.94996309,20,0.3
687,Vorfahrt gewähren,0.31224269,20,0.35
688,Vorfahrt,0.48483515,20,0.4
689,Ende aller Streckenverbote,0.93467414,20,0.45
690,Verbot für Fahrzeuge aller Art,0.52259386,20,0.5
691,Vorfahrt,0.37837791,20,0.55
692,Vorfahrt gewähren,0.24943824,20,0.6
693,Ende aller Streckenverbote,0.97596276,20,0.65
694,Verbot für Fahrzeuge aller Art,0.35178724,20,0.7
695,Vorfahrt gewähren,0.90681243,20,0.75
696,Vorfahrt,0.97478878,20,0.8
697,Verbot für Fahrzeuge aller Art,0.99799675,20,0.85
698,Vorfahrt gewähren,0.99956101,20,0.9
699,Rechts vorbei,0.95322847,20,0.95
700,Vorfahrt gewähren,0.9896366,20,1.0
701,Vorfahrt,0.40305993,20,1.05
702,Fahrradfahrer,0.99513334,20,1.1
703,Vorfahrt,0.99897873,20,1.15
704,Zulässige Höchstgeschwindigkeit (70),0.97246909,20,1.2
705,Vorfahrt,0.95781851,20,1.25
706,Verbot für Fahrzeuge aller Art,0.79221892,20,1.3
707,Vorfahrt gewähren,0.89461052,20,1.35
708,Zulässige Höchstgeschwindigkeit (30),0.96926171,20,1.4
709,Vorfahrt gewähren,0.83344144,20,1.45
710,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99645919,20,1.5
711,Baustelle,0.99997568,20,1.55
712,Vorfahrt,0.65207028,20,1.6
713,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.98742306,20,1.65
714,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,20,1.7
715,Zulässige Höchstgeschwindigkeit (120),0.81936485,20,1.75
716,Vorfahrt gewähren,0.99935442,20,1.8
717,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.02329642,20,1.85
718,Kreisverkehr,0.36005393,20,1.9
719,Stoppschild,0.73260528,20,1.95
720,Ende aller Streckenverbote,0.93829441,21,0.0
721,Ende aller Streckenverbote,0.92355889,21,0.05
722,Ende aller Streckenverbote,0.92203426,21,0.1
723,Ende aller Streckenverbote,0.55717415,21,0.15
724,Ende aller Streckenverbote,0.79885525,21,0.2
725,Ende aller Streckenverbote,0.95206916,21,0.25
726,Ende aller Streckenverbote,0.93208259,21,0.3
727,Ende aller Streckenverbote,0.93884194,21,0.35
728,Vorfahrt,0.60841447,21,0.4
729,Vorfahrt,0.71394944,21,0.45
730,Vorfahrt,0.69980985,21,0.5
731,Verbot für Fahrzeuge aller Art,0.73174894,21,0.55
732,Vorfahrt,0.6806016,21,0.6
733,Vorfahrt,0.92416084,21,0.65
734,Vorfahrt,0.96777958,21,0.7
735,Vorfahrt,0.84808588,21,0.75
736,Doppelkurve (zunächst links),0.44657406,21,0.8
737,Verbot für Fahrzeuge aller Art,0.56809467,21,0.85
738,Verbot für Fahrzeuge aller Art,0.9886952,21,0.9
739,Rechts vorbei,0.97264683,21,0.95
740,Ausschließlich rechts,0.95417863,21,1.0
741,Vorfahrt,0.83845443,21,1.05
742,Rechts vorbei,0.79527634,21,1.1
743,Schleudergefahr bei Nässe oder Schmutz,0.69986254,21,1.15
744,Doppelkurve (zunächst links),0.03419111,21,1.2
745,Vorfahrt,0.99922836,21,1.25
746,Vorfahrt,0.78862542,21,1.3
747,Zulässige Höchstgeschwindigkeit (50),0.62906086,21,1.35
748,Baustelle,0.99657756,21,1.4
749,Zulässige Höchstgeschwindigkeit (70),0.99999952,21,1.45
750,Ausschließlich rechts,0.93655896,21,1.5
751,Baustelle,0.87733924,21,1.55
752,Baustelle,0.5048638,21,1.6
753,Zulässige Höchstgeschwindigkeit (20),0.83817106,21,1.65
754,Verbot für Fahrzeuge aller Art,0.25979149,21,1.7
755,Zulässige Höchstgeschwindigkeit (30),0.97844487,21,1.75
756,Zulässige Höchstgeschwindigkeit (70),1.0,21,1.8
757,Zulässige Höchstgeschwindigkeit (50),0.98319107,21,1.85
758,Zulässige Höchstgeschwindigkeit (60),0.62738353,21,1.9
759,Zulässige Höchstgeschwindigkeit (60),0.99992692,21,1.95
760,Ende aller Streckenverbote,0.89247197,22,0.0
761,Ende aller Streckenverbote,0.96758503,22,0.05
762,Ende aller Streckenverbote,0.83415592,22,0.1
763,Ende aller Streckenverbote,0.9119336,22,0.15
764,Ende aller Streckenverbote,0.96857595,22,0.2
765,Ende aller Streckenverbote,0.94189066,22,0.25
766,Ende aller Streckenverbote,0.97335488,22,0.3
767,Ende aller Streckenverbote,0.70026755,22,0.35
768,Ausschließlich rechts,0.50737643,22,0.4
769,Vorfahrt,0.87119347,22,0.45
770,Vorfahrt,0.98015732,22,0.5
771,Ende aller Streckenverbote,0.66294491,22,0.55
772,Vorfahrt gewähren,0.93379581,22,0.6
773,Baustelle,0.51325041,22,0.65
774,Vorfahrt,0.90702313,22,0.7
775,Vorfahrt gewähren,0.73615515,22,0.75
776,Vorfahrt gewähren,0.29145771,22,0.8
777,Baustelle,0.5448572,22,0.85
778,Vorfahrt,0.69261175,22,0.9
779,Vorfahrt gewähren,0.98314923,22,0.95
780,Vorfahrt,0.99831736,22,1.0
781,Vorfahrt gewähren,0.99331701,22,1.05
782,Verbot für Fahrzeuge aller Art,0.89129251,22,1.1
783,Verbot für Fahrzeuge aller Art,0.6625663,22,1.15
784,Rechts vorbei,0.60488319,22,1.2
785,Rechts vorbei,0.55202854,22,1.25
786,Ausschließlich rechts,0.9910149,22,1.3
787,Vorfahrt,0.49618796,22,1.35
788,Verbot für Fahrzeuge aller Art,0.99996102,22,1.4
789,Vorfahrt,0.27137983,22,1.45
790,Ausschließlich rechts,0.78422779,22,1.5
791,Vorfahrt gewähren,0.90479004,22,1.55
792,Baustelle,0.99665654,22,1.6
793,Ausschließlich geradeaus,0.80634367,22,1.65
794,Überholverbot für Kraftfahrzeuge aller Art,0.97445244,22,1.7
795,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.9924078,22,1.75
796,Zulässige Höchstgeschwindigkeit (30),0.9922381,22,1.8
797,Zulässige Höchstgeschwindigkeit (20),0.48984754,22,1.85
798,Zulässige Höchstgeschwindigkeit (70),0.99519581,22,1.9
799,Vorfahrt,0.94216794,22,1.95
800,Ende aller Streckenverbote,0.88681149,23,0.0
801,Ende aller Streckenverbote,0.81901705,23,0.05
802,Ende aller Streckenverbote,0.9652282,23,0.1
803,Ende aller Streckenverbote,0.88522124,23,0.15
804,Vorfahrt,0.57381618,23,0.2
805,Ende aller Streckenverbote,0.94821835,23,0.25
806,Ausschließlich rechts,0.27036676,23,0.3
807,Vorfahrt,0.52413648,23,0.35
808,Ende aller Streckenverbote,0.91798633,23,0.4
809,Ende aller Streckenverbote,0.84563142,23,0.45
810,Vorfahrt gewähren,0.33132613,23,0.5
811,Vorfahrt,0.50661361,23,0.55
812,Vorfahrt,0.96780807,23,0.6
813,Vorfahrt,0.99660921,23,0.65
814,Rechts vorbei,0.61992502,23,0.7
815,Vorfahrt,0.82315761,23,0.75
816,Vorfahrt,0.6607796,23,0.8
817,Verbot für Fahrzeuge aller Art,0.72465467,23,0.85
818,Vorfahrt,0.91934568,23,0.9
819,Vorfahrt gewähren,0.76931411,23,0.95
820,Überholverbot für Kraftfahrzeuge aller Art,0.17334799,23,1.0
821,Verbot für Fahrzeuge aller Art,0.87219369,23,1.05
822,Baustelle,0.32160646,23,1.1
823,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,23,1.15
824,Baustelle,0.83791202,23,1.2
825,Doppelkurve (zunächst links),0.11905844,23,1.25
826,Zulässige Höchstgeschwindigkeit (50),0.49109226,23,1.3
827,Zulässige Höchstgeschwindigkeit (50),0.98617095,23,1.35
828,Vorfahrt gewähren,0.99727041,23,1.4
829,Vorfahrt gewähren,0.33915418,23,1.45
830,Ausschließlich geradeaus,0.98572528,23,1.5
831,Zulässige Höchstgeschwindigkeit (120),0.99999857,23,1.55
832,Ausschließlich rechts,0.99104905,23,1.6
833,Zulässige Höchstgeschwindigkeit (70),0.93768871,23,1.65
834,Vorfahrt gewähren,0.99999928,23,1.7
835,Verbot für Fahrzeuge aller Art,0.83289665,23,1.75
836,Gefahrenstelle,0.13568829,23,1.8
837,Baustelle,0.98651612,23,1.85
838,Vorfahrt,0.95725286,23,1.9
839,Baustelle,0.47540501,23,1.95
840,Ende aller Streckenverbote,0.86938226,24,0.0
841,Ende aller Streckenverbote,0.89244515,24,0.05
842,Ende aller Streckenverbote,0.95066023,24,0.1
843,Ende aller Streckenverbote,0.87663317,24,0.15
844,Ende aller Streckenverbote,0.96145099,24,0.2
845,Ende aller Streckenverbote,0.87491816,24,0.25
846,Ende aller Streckenverbote,0.88948691,24,0.3
847,Ende aller Streckenverbote,0.94639063,24,0.35
848,Vorfahrt,0.8973273,24,0.4
849,Vorfahrt,0.89621949,24,0.45
850,Vorfahrt,0.98234516,24,0.5
851,Vorfahrt,0.83651882,24,0.55
852,Ende aller Streckenverbote,0.49010554,24,0.6
853,Vorfahrt gewähren,0.56299996,24,0.65
854,Vorfahrt,0.69172621,24,0.7
855,Verbot für Fahrzeuge aller Art,0.66065574,24,0.75
856,Vorfahrt,0.92254138,24,0.8
857,Vorfahrt,0.51221561,24,0.85
858,Kreisverkehr,0.08883486,24,0.9
859,Baustelle,0.98285162,24,0.95
860,Zulässige Höchstgeschwindigkeit (70),0.99999964,24,1.0
861,Überholverbot für Kraftfahrzeuge aller Art,0.99949563,24,1.05
862,Vorfahrt gewähren,0.76149076,24,1.1
863,Baustelle,0.97923458,24,1.15
864,Stoppschild,0.95777279,24,1.2
865,Zulässige Höchstgeschwindigkeit (120),0.59550065,24,1.25
866,Verbot für Fahrzeuge aller Art,0.91672462,24,1.3
867,Rechts vorbei,0.81670737,24,1.35
868,Vorfahrt gewähren,0.29811892,24,1.4
869,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.50409049,24,1.45
870,Zulässige Höchstgeschwindigkeit (50),0.99849427,24,1.5
871,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.4640308,24,1.55
872,Baustelle,0.99991238,24,1.6
873,Unebene Fahrbahn,0.80992532,24,1.65
874,Ausschließlich geradeaus,0.56417525,24,1.7
875,Baustelle,0.55040669,24,1.75
876,Zulässige Höchstgeschwindigkeit (70),0.6876877,24,1.8
877,Rechts vorbei,0.2812272,24,1.85
878,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.24712954,24,1.9
879,Kreisverkehr,0.4811593,24,1.95
880,Ende aller Streckenverbote,0.93001926,25,0.0
881,Ende aller Streckenverbote,0.94588566,25,0.05
882,Ende aller Streckenverbote,0.55559522,25,0.1
883,Ende aller Streckenverbote,0.80510843,25,0.15
884,Ende aller Streckenverbote,0.86526811,25,0.2
885,Ende aller Streckenverbote,0.63144678,25,0.25
886,Vorfahrt gewähren,0.71086109,25,0.3
887,Ende aller Streckenverbote,0.55199057,25,0.35
888,Ende aller Streckenverbote,0.5023123,25,0.4
889,Ende aller Streckenverbote,0.45125338,25,0.45
890,Vorfahrt,0.89459819,25,0.5
891,Vorfahrt,0.83197457,25,0.55
892,Ende aller Streckenverbote,0.43325818,25,0.6
893,Ende aller Streckenverbote,0.5799306,25,0.65
894,Vorfahrt,0.95032507,25,0.7
895,Vorfahrt gewähren,0.97051215,25,0.75
896,Baustelle,0.93017691,25,0.8
897,Ende aller Streckenverbote,0.45252368,25,0.85
898,Verbot für Fahrzeuge aller Art,0.99872059,25,0.9
899,Vorfahrt gewähren,0.92089385,25,0.95
900,Verbot für Fahrzeuge aller Art,0.97888911,25,1.0
901,Vorfahrt gewähren,0.65172589,25,1.05
902,Rechts vorbei,0.65659004,25,1.1
903,Vorfahrt gewähren,0.9959622,25,1.15
904,Kreisverkehr,0.96686089,25,1.2
905,Vorfahrt,0.79103082,25,1.25
906,Verbot für Fahrzeuge aller Art,0.35649738,25,1.3
907,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,25,1.35
908,Rechts vorbei,0.99995184,25,1.4
909,Verbot für Fahrzeuge aller Art,0.88074386,25,1.45
910,Gefahrenstelle,0.73672241,25,1.5
911,Wildwechsel,0.5054456,25,1.55
912,Vorfahrt gewähren,0.08945768,25,1.6
913,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.02293037,25,1.65
914,Zulässige Höchstgeschwindigkeit (70),0.64936769,25,1.7
915,Zulässige Höchstgeschwindigkeit (70),0.943977,25,1.75
916,Zulässige Höchstgeschwindigkeit (50),0.36016592,25,1.8
917,Verbot für Fahrzeuge aller Art,0.98842233,25,1.85
918,Ausschließlich geradeaus,0.99978584,25,1.9
919,Gefahrenstelle,0.1701639,25,1.95
920,Ende aller Streckenverbote,0.93075609,26,0.0
921,Ende aller Streckenverbote,0.85872805,26,0.05
922,Ende aller Streckenverbote,0.72201228,26,0.1
923,Ende aller Streckenverbote,0.8712942,26,0.15
924,Ende aller Streckenverbote,0.50886315,26,0.2
925,Ende aller Streckenverbote,0.97623491,26,0.25
926,Ende aller Streckenverbote,0.28522956,26,0.3
927,Vorfahrt,0.79595613,26,0.35
928,Ende aller Streckenverbote,0.51731771,26,0.4
929,Vorfahrt,0.7027564,26,0.45
930,Vorfahrt,0.98271471,26,0.5
931,Vorfahrt,0.98540515,26,0.55
932,Ende aller Streckenverbote,0.29054779,26,0.6
933,Vorfahrt,0.62516546,26,0.65
934,Vorfahrt gewähren,0.67294264,26,0.7
935,Verbot für Fahrzeuge aller Art,0.99569762,26,0.75
936,Vorfahrt,0.63149655,26,0.8
937,Rechts vorbei,0.92126298,26,0.85
938,Vorfahrt gewähren,0.24077103,26,0.9
939,Rechts vorbei,0.98384523,26,0.95
940,Vorfahrt gewähren,0.59590131,26,1.0
941,Doppelkurve (zunächst links),0.94081759,26,1.05
942,Unebene Fahrbahn,0.93276042,26,1.1
943,Verbot für Fahrzeuge aller Art,0.55948871,26,1.15
944,Verbot für Fahrzeuge aller Art,0.99903727,26,1.2
945,Vorfahrt gewähren,0.99630934,26,1.25
946,Zulässige Höchstgeschwindigkeit (20),0.12239303,26,1.3
947,Schleudergefahr bei Nässe oder Schmutz,0.02423992,26,1.35
948,Zulässige Höchstgeschwindigkeit (30),0.73627561,26,1.4
949,Baustelle,1.0,26,1.45
950,Verbot für Fahrzeuge aller Art,0.99979085,26,1.5
951,Vorfahrt,0.99911851,26,1.55
952,Vorfahrt gewähren,0.94398975,26,1.6
953,Baustelle,0.99991214,26,1.65
954,Zulässige Höchstgeschwindigkeit (30),0.9982115,26,1.7
955,Einmalige Vorfahrt,0.9984628,26,1.75
956,Ende der Geschwindigkeitsbegrenzung (80),0.57314008,26,1.8
957,Vorfahrt gewähren,0.99934703,26,1.85
958,Einmalige Vorfahrt,0.04519607,26,1.9
959,Einmalige Vorfahrt,0.94702613,26,1.95
960,Ende aller Streckenverbote,0.91972482,27,0.0
961,Ende aller Streckenverbote,0.86371028,27,0.05
962,Ende aller Streckenverbote,0.80671364,27,0.1
963,Ende aller Streckenverbote,0.84215522,27,0.15
964,Ende aller Streckenverbote,0.72151929,27,0.2
965,Ende aller Streckenverbote,0.7776143,27,0.25
966,Ende aller Streckenverbote,0.51740795,27,0.3
967,Vorfahrt,0.974361,27,0.35
968,Vorfahrt,0.88393605,27,0.4
969,Ende aller Streckenverbote,0.45209381,27,0.45
970,Vorfahrt gewähren,0.33411238,27,0.5
971,Vorfahrt,0.51973456,27,0.55
972,Vorfahrt,0.82743645,27,0.6
973,Vorfahrt,0.09634369,27,0.65
974,Vorfahrt,0.59713107,27,0.7
975,Vorfahrt,0.74670261,27,0.75
976,Verbot für Fahrzeuge aller Art,0.97878176,27,0.8
977,Vorfahrt,0.99869436,27,0.85
978,Unebene Fahrbahn,0.38279206,27,0.9
979,Vorfahrt,0.55920696,27,0.95
980,Zulässige Höchstgeschwindigkeit (70),0.52748418,27,1.0
981,Zulässige Höchstgeschwindigkeit (70),0.99999857,27,1.05
982,Unebene Fahrbahn,0.99610597,27,1.1
983,Vorfahrt,0.5940643,27,1.15
984,Vorfahrt gewähren,0.66593212,27,1.2
985,Vorfahrt gewähren,0.99417865,27,1.25
986,Unebene Fahrbahn,0.98277652,27,1.3
987,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.93811435,27,1.35
988,Verbot für Fahrzeuge aller Art,0.99996352,27,1.4
989,Vorfahrt gewähren,0.88406163,27,1.45
990,Baustelle,0.99910873,27,1.5
991,Zulässige Höchstgeschwindigkeit (30),0.13564573,27,1.55
992,Ausschließlich rechts,0.62730658,27,1.6
993,Baustelle,0.99960488,27,1.65
994,Zulässige Höchstgeschwindigkeit (70),0.74619907,27,1.7
995,Zulässige Höchstgeschwindigkeit (60),0.97761005,27,1.75
